в + accs;"количество примеров для колонки ""в + accs""";на + nomn;"количество примеров для колонки ""на + nomn""";в + nomn;"количество примеров для колонки ""в + nomn""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";на + loct;"количество примеров для колонки ""на + loct""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";с + ablt;"количество примеров для колонки ""с + ablt""";в + loct;"количество примеров для колонки ""в + loct""";о + accs;"количество примеров для колонки ""о + accs""";из + gent;"количество примеров для колонки ""из + gent""";на + gent;"количество примеров для колонки ""на + gent""";между + ablt;"количество примеров для колонки ""между + ablt""";из + accs;"количество примеров для колонки ""из + accs""";о + gent;"количество примеров для колонки ""о + gent""";на + accs;"количество примеров для колонки ""на + accs""";при + loct;"количество примеров для колонки ""при + loct""";с + accs;"количество примеров для колонки ""с + accs""";через + accs;"количество примеров для колонки ""через + accs""";в + gent;"количество примеров для колонки ""в + gent""";с + gent;"количество примеров для колонки ""с + gent""";непрямое дополнение, voct;"количество примеров для колонки ""непрямое дополнение, voct""";о + nomn;"количество примеров для колонки ""о + nomn""";к + datv;"количество примеров для колонки ""к + datv""";на + datv;"количество примеров для колонки ""на + datv""";для + gent;"количество примеров для колонки ""для + gent"""
сторона;1;отрезок;1;плоскость;1;параллелограмм;2;окружность;4;медиана;2;радиус;1;угол;28;центр;1;отношение;1;хорда;1;вершина;1;часть;1;высота;1;сторона;1;пересечение;1;трапеция;1;ребро;1;сторона;1;сторона;1;точка;1;куб;1;ось;1;радиус;1;диаметр;1;отрезка;1;получение;1
;;;;;;диаметр;2;прямая;1;узел;2;;;сторона;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;биссектриса;7;;;центр;1;;;гипотенуза;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;сантиметр;24;;;;;;;трапеция;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;диагональ;6;;;;;;;отрезка;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;век;4;;;;;;;пирамида;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;процесс;2;;;;;;;фигура;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;медиана;1;;;;;;;высота;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;высота;1;;;;;;;сегмент;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;конец;2;;;;;;;тип;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;основание;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;площадь;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;плоскость;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;ребро;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;центр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;точка;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;прямая;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;куб;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;секущая;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;шар;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;четыр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;параллелепипед;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;плата;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;катет;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;периметр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;треугольник;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
