прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";с + ablt;"количество примеров для колонки ""с + ablt""";в + loct;"количество примеров для колонки ""в + loct""";о + nomn;"количество примеров для колонки ""о + nomn""";на + datv;"количество примеров для колонки ""на + datv""";в + gent;"количество примеров для колонки ""в + gent""";в + nomn;"количество примеров для колонки ""в + nomn""";через + gent;"количество примеров для колонки ""через + gent""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";без + gent;"количество примеров для колонки ""без + gent""";для + accs;"количество примеров для колонки ""для + accs""";для + nomn;"количество примеров для колонки ""для + nomn""";с + nomn;"количество примеров для колонки ""с + nomn""";с + accs;"количество примеров для колонки ""с + accs""";на + loct;"количество примеров для колонки ""на + loct""";к + gent;"количество примеров для колонки ""к + gent""";из + gent;"количество примеров для колонки ""из + gent""";на + nomn;"количество примеров для колонки ""на + nomn""";по + datv;"количество примеров для колонки ""по + datv"""
угол;1;центр;1;помощь;1;пространство;1;сечение;1;сторона;1;плоскость;1;поверхность;1;точка;1;плоскость;20;поверхность;1;использование;1;гипербола;1;эллипс;1;эллипс;1;гипербола;1;рисунок;1;плоскость;1;точка;1;прямая;1;клеточка;1
пирамида;2;лист;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
призма;1;плоскость;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
цилиндр;1;вектор;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сторона;1;окружность;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;четырёхугольник;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;прямая;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;точка;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;сечение;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;перпендикуляр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
