непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";с + ablt;"количество примеров для колонки ""с + ablt""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";на + gent;"количество примеров для колонки ""на + gent""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";к + datv;"количество примеров для колонки ""к + datv""";между + ablt;"количество примеров для колонки ""между + ablt""";от + gent;"количество примеров для колонки ""от + gent""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";ниже + ablt;"количество примеров для колонки ""ниже + ablt""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";на + nomn;"количество примеров для колонки ""на + nomn""";на + accs;"количество примеров для колонки ""на + accs""";относительно + gent;"количество примеров для колонки ""относительно + gent""";о + ablt;"количество примеров для колонки ""о + ablt"""
малое;2;ребро;1;плата;1;плоскость;1;окружность;2;диаметр;1;вектор;1;точка;1;поверхность;1;образ;1;угол;1;вектор;1;угол;1;плоскость;1;коэффициент;1
буква;12;;;литр;2;;;;;;;;;;;;;;;;;;;;;;;;
указание;1;;;номер;1;;;;;;;;;;;;;;;;;;;;;;;;
точка;1;;;сантиметр;2;;;;;;;;;;;;;;;;;;;;;;;;
координата;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ребро;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
крест;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
образ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сантиметр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
вектор;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
