к + datv;"количество примеров для колонки ""к + datv""";при + loct;"количество примеров для колонки ""при + loct""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";при + nomn;"количество примеров для колонки ""при + nomn""";в + gent;"количество примеров для колонки ""в + gent""";в + nomn;"количество примеров для колонки ""в + nomn""";за + voct;"количество примеров для колонки ""за + voct""";у + gent;"количество примеров для колонки ""у + gent""";около + gent;"количество примеров для колонки ""около + gent""";о + nomn;"количество примеров для колонки ""о + nomn""";по + datv;"количество примеров для колонки ""по + datv""";с + gent;"количество примеров для колонки ""с + gent""";при + gent;"количество примеров для колонки ""при + gent""";относительно + gent;"количество примеров для колонки ""относительно + gent""";по + gent;"количество примеров для колонки ""по + gent""";к + nomn;"количество примеров для колонки ""к + nomn""";в + loct;"количество примеров для колонки ""в + loct""";к + gent;"количество примеров для колонки ""к + gent""";от + gent;"количество примеров для колонки ""от + gent""";на + nomn;"количество примеров для колонки ""на + nomn""";к + loct;"количество примеров для колонки ""к + loct""";относительно + voct;"количество примеров для колонки ""относительно + voct""";в + voct;"количество примеров для колонки ""в + voct""";с + ablt;"количество примеров для колонки ""с + ablt"""
предел;1;подобие;1;точка;16;точка;1;точка;1;луч;1;ось;1;фигура;1;вершина;1;точка;1;закон;1;прямая;1;симметрия;1;плоскость;1;прямая;1;век;1;равенство;1;точка;1;форма;1;вектор;1;форма;1;ось;1;ось;1;коэффициент;1
;;;;прямая;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;параллелограмм;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;квадрат;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;вершина;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;плоскость;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;круг;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;отрезка;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;часть;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ортоцентр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;фигура;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;основание;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;треугольник;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
