на + nomn;"количество примеров для колонки ""на + nomn""";в + nomn;"количество примеров для колонки ""в + nomn""";на + gent;"количество примеров для колонки ""на + gent""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";по + datv;"количество примеров для колонки ""по + datv""";у + nomn;"количество примеров для колонки ""у + nomn""";из + gent;"количество примеров для колонки ""из + gent""";в + accs;"количество примеров для колонки ""в + accs""";на + loct;"количество примеров для колонки ""на + loct""";на + accs;"количество примеров для колонки ""на + accs""";с + nomn;"количество примеров для колонки ""с + nomn""";с + ablt;"количество примеров для колонки ""с + ablt""";к + gent;"количество примеров для колонки ""к + gent""";при + loct;"количество примеров для колонки ""при + loct"""
плата;1;точка;1;единица;1;том;2;площадь;2;призма;3;объём;1;плоскость;1;треугольник;1;призма;1;область;1;сфера;1;пространство;1;конус;1;ось;1;необходимость;1
;;;;;;площадь;1;;;прямая;2;;;;;;;;;;;;;;;;;;;;
;;;;;;фалес;2;;;угол;2;;;;;;;;;;;;;;;;;;;;
;;;;;;прямая;5;;;тело;1;;;;;;;;;;;;;;;;;;;;
;;;;;;плоскость;22;;;единица;1;;;;;;;;;;;;;;;;;;;;
;;;;;;окружность;2;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;диагональ;1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;пространство;4;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;параллелограмм;2;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;шар;1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;конус;1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;параллелепипед;1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;треугольник;1;;;;;;;;;;;;;;;;;;;;;;;;
