с + ablt;"количество примеров для колонки ""с + ablt""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";в + loct;"количество примеров для колонки ""в + loct""";о + nomn;"количество примеров для колонки ""о + nomn""";из + gent;"количество примеров для колонки ""из + gent""";на + gent;"количество примеров для колонки ""на + gent""";о + gent;"количество примеров для колонки ""о + gent""";к + datv;"количество примеров для колонки ""к + datv""";от + gent;"количество примеров для колонки ""от + gent""";до + gent;"количество примеров для колонки ""до + gent""";по + datv;"количество примеров для колонки ""по + datv""";к + loct;"количество примеров для колонки ""к + loct""";с + datv;"количество примеров для колонки ""с + datv""";с + gent;"количество примеров для колонки ""с + gent""";при + loct;"количество примеров для колонки ""при + loct""";у + gent;"количество примеров для колонки ""у + gent""";через + gent;"количество примеров для колонки ""через + gent""";на + nomn;"количество примеров для колонки ""на + nomn""";при + nomn;"количество примеров для колонки ""при + nomn""";с + nomn;"количество примеров для колонки ""с + nomn""";для + gent;"количество примеров для колонки ""для + gent""";в + gent;"количество примеров для колонки ""в + gent""";между + ablt;"количество примеров для колонки ""между + ablt"""
координата;1;луч;3;случай;1;отрезка;1;отрезок;1;плоскость;1;пересечение;1;сторона;1;выбор;1;сторона;1;теорема;1;точка;1;данные;1;прямая;1;вершина;1;треугольник;1;середина;1;плоскость;1;центр;1;литр;1;фигура;1;плоскость;1;точка;1
;;том;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;плата;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;отрезка;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;радиус;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;поворот;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ребро;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;прямая;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;формула;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;конец;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;основание;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
