в + loct;"количество примеров для колонки ""в + loct""";по + datv;"количество примеров для колонки ""по + datv""";на + loct;"количество примеров для колонки ""на + loct""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";для + nomn;"количество примеров для колонки ""для + nomn""";на + gent;"количество примеров для колонки ""на + gent""";с + ablt;"количество примеров для колонки ""с + ablt""";из + gent;"количество примеров для колонки ""из + gent""";в + gent;"количество примеров для колонки ""в + gent""";вне + gent;"количество примеров для колонки ""вне + gent""";между + ablt;"количество примеров для колонки ""между + ablt""";для + ablt;"количество примеров для колонки ""для + ablt""";от + nomn;"количество примеров для колонки ""от + nomn""";с + nomn;"количество примеров для колонки ""с + nomn""";от + gent;"количество примеров для колонки ""от + gent""";для + gent;"количество примеров для колонки ""для + gent""";на + nomn;"количество примеров для колонки ""на + nomn""";внутри + gent;"количество примеров для колонки ""внутри + gent""";о + nomn;"количество примеров для колонки ""о + nomn""";в + datv;"количество примеров для колонки ""в + datv""";у + nomn;"количество примеров для колонки ""у + nomn""";в + nomn;"количество примеров для колонки ""в + nomn""";при + nomn;"количество примеров для колонки ""при + nomn""";относительно + gent;"количество примеров для колонки ""относительно + gent""";согласно + datv;"количество примеров для колонки ""согласно + datv""";у + gent;"количество примеров для колонки ""у + gent""";к + loct;"количество примеров для колонки ""к + loct""";при + loct;"количество примеров для колонки ""при + loct""";для + datv;"количество примеров для колонки ""для + datv"""
пространство;1;аксиома;1;луч;1;точка;8;плоскость;1;плоскость;1;центр;1;многогранник;1;плоскость;1;прямая;1;величина;1;люба;1;многогранник;1;плата;1;друг;1;призма;1;прямая;1;эллипс;1;точка;1;математика;1;прямая;1;тройка;1;плата;1;точка;1;теорема;1;многогранник;1;сфера;1;наложение;1;окружность;1
;;;;;;многогранник;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;случай;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;целое;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;направление;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;прямая;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;год;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;торричелли;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;плоскость;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;друг;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;сечение;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;литр;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;единорог;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;число;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;перпендикуляр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;ряд;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;поворот;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;перенос;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;элемент;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;шаров;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;конус;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;способ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;треугольник;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
